gender;star1;star2;star3;read1;read2;math1;math2;school1;school2;school3;experience1;experience2;experience3;EndScore
male;regular+aide;regular+aide;regular+aide;499;577;481;577;inner-city;inner-city;inner-city;36;31;18;613
female;small;NA;NA;457;NA;449;NA;suburban;NA;NA;23;NA;NA;NA
female;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
female;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
female;regular+aide;regular+aide;regular+aide;NA;NA;500;NA;rural;rural;rural;13;11;16;543
male;NA;regular+aide;regular+aide;NA;539;NA;533;NA;inner-city;inner-city;NA;13;13;547
female;NA;NA;regular+aide;NA;NA;NA;NA;NA;NA;rural;NA;NA;36;640
male;regular;regular;regular;475;526;497;522;rural;rural;rural;12;13;8;581
female;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
male;regular;regular;NA;460;515;493;525;suburban;suburban;NA;2;22;NA;NA
female;small;small;small;509;588;497;517;rural;rural;rural;7;15;13;586
male;regular+aide;NA;NA;466;NA;493;NA;inner-city;NA;NA;1;NA;NA;NA
male;NA;regular+aide;regular+aide;NA;NA;NA;NA;NA;urban;urban;NA;19;16;586
male;regular;NA;NA;454;NA;458;NA;urban;NA;NA;1;NA;NA;NA
male;small;NA;NA;544;NA;572;NA;rural;NA;NA;6;NA;NA;NA
female;NA;NA;regular;NA;NA;NA;NA;NA;NA;suburban;NA;NA;8;NA
female;regular;NA;NA;519;NA;523;NA;rural;NA;NA;5;NA;NA;NA
male;NA;regular+aide;NA;NA;503;NA;515;NA;inner-city;NA;NA;16;NA;NA
female;small;small;NA;NA;NA;510;NA;rural;rural;NA;12;14;NA;NA
female;small;small;small;521;596;542;572;rural;rural;rural;27;10;4;594
female;small;small;small;553;579;526;557;urban;urban;urban;18;22;8;607
female;NA;small;small;NA;577;NA;545;NA;urban;urban;NA;23;9;614
male;small;NA;NA;451;NA;538;NA;urban;NA;NA;14;NA;NA;NA
male;small;small;small;564;637;601;620;urban;urban;urban;15;14;36;693
male;regular;regular;regular;530;555;567;615;inner-city;inner-city;inner-city;0;1;3;642
female;small;NA;NA;590;NA;592;NA;rural;NA;NA;1;NA;NA;NA
female;regular;regular;regular;604;659;567;626;rural;rural;rural;2;2;13;675
male;NA;NA;regular;NA;NA;NA;NA;NA;NA;rural;NA;NA;9;599
male;NA;NA;regular;NA;NA;NA;NA;NA;NA;urban;NA;NA;7;NA
female;regular+aide;regular+aide;regular+aide;454;NA;510;NA;inner-city;inner-city;inner-city;5;13;3;613
male;NA;NA;small;NA;NA;NA;NA;NA;NA;suburban;NA;NA;5;660
female;NA;regular+aide;NA;NA;618;NA;639;NA;rural;NA;NA;15;NA;NA
male;NA;NA;regular+aide;NA;NA;NA;NA;NA;NA;rural;NA;NA;10;599
female;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
male;NA;NA;regular+aide;NA;NA;NA;NA;NA;NA;inner-city;NA;NA;25;585
male;small;small;small;590;650;612;699;suburban;suburban;suburban;18;15;5;696
male;regular;regular;regular;604;611;538;563;rural;rural;rural;7;8;8;632
female;regular;regular;regular+aide;492;526;490;504;inner-city;inner-city;inner-city;1;12;14;565
male;NA;NA;regular;NA;NA;NA;NA;NA;NA;suburban;NA;NA;10;609
female;small;small;NA;460;499;510;492;rural;rural;NA;2;28;NA;NA
female;regular;regular+aide;small;509;579;526;620;inner-city;inner-city;inner-city;5;35;9;634
male;regular;NA;NA;516;NA;578;NA;suburban;NA;NA;10;NA;NA;NA
female;small;small;small;487;560;497;528;suburban;suburban;suburban;4;25;21;573
male;NA;regular;regular;NA;549;NA;572;NA;rural;rural;NA;11;19;591
female;small;small;small;590;622;542;577;rural;rural;rural;6;17;10;631
female;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
male;regular+aide;NA;NA;540;NA;526;NA;urban;NA;NA;0;NA;NA;NA
female;regular+aide;NA;NA;442;NA;472;NA;urban;NA;NA;7;NA;NA;NA
female;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
male;NA;regular;regular;NA;515;NA;500;NA;urban;urban;NA;15;16;NA
female;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
female;NA;regular+aide;regular+aide;NA;591;NA;582;NA;urban;urban;NA;19;16;616
female;NA;small;NA;NA;NA;NA;NA;NA;rural;NA;NA;8;NA;NA
female;NA;regular+aide;NA;NA;NA;NA;NA;NA;rural;NA;NA;27;NA;NA
male;regular;NA;regular;590;NA;512;NA;rural;NA;rural;23;NA;21;611
female;regular+aide;regular+aide;regular;604;643;545;570;rural;rural;rural;2;19;1;615
female;regular;NA;NA;445;NA;474;NA;urban;NA;NA;5;NA;NA;NA
female;NA;NA;regular+aide;NA;NA;NA;NA;NA;NA;inner-city;NA;NA;13;606
male;NA;NA;small;NA;NA;NA;NA;NA;NA;rural;NA;NA;12;NA
male;regular+aide;regular+aide;regular+aide;475;547;495;535;rural;rural;rural;16;4;14;572
male;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
female;small;regular+aide;regular+aide;533;588;578;587;rural;rural;rural;11;8;16;654
female;NA;regular+aide;NA;NA;542;NA;512;NA;inner-city;NA;NA;16;NA;NA
female;small;small;small;629;631;627;626;suburban;suburban;suburban;23;NA;24;666
male;NA;NA;regular;NA;NA;NA;NA;NA;NA;rural;NA;NA;18;NA
female;NA;regular;regular;NA;566;NA;574;NA;urban;urban;NA;8;15;609
male;NA;regular+aide;NA;NA;529;NA;518;NA;suburban;NA;NA;18;NA;NA
female;regular+aide;regular;small;480;573;553;659;inner-city;inner-city;inner-city;3;4;15;622
male;regular+aide;NA;NA;444;NA;477;NA;inner-city;NA;NA;7;NA;NA;NA
male;NA;regular+aide;NA;NA;564;NA;561;NA;rural;NA;NA;4;NA;NA
female;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
male;NA;NA;regular+aide;NA;NA;NA;NA;NA;NA;rural;NA;NA;9;572
female;regular;regular;regular;564;554;584;514;rural;rural;rural;13;15;24;578
male;NA;small;NA;NA;650;NA;599;NA;rural;NA;NA;12;NA;NA
male;NA;NA;regular+aide;NA;NA;NA;NA;NA;NA;rural;NA;NA;5;594
female;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
female;NA;NA;small;NA;NA;NA;NA;NA;NA;suburban;NA;NA;20;587
male;NA;regular;NA;NA;NA;NA;NA;NA;inner-city;NA;NA;2;NA;NA
female;regular+aide;NA;NA;527;NA;481;NA;rural;NA;NA;8;NA;NA;NA
female;small;small;small;439;533;472;541;inner-city;inner-city;inner-city;17;2;3;593
male;regular;regular;regular;471;555;486;587;suburban;suburban;suburban;19;19;24;630
male;NA;regular+aide;regular+aide;NA;627;NA;639;NA;rural;rural;NA;4;16;666
female;NA;NA;regular;NA;NA;NA;NA;NA;NA;rural;NA;NA;9;686
male;regular;regular;NA;509;554;484;517;inner-city;inner-city;NA;11;11;NA;NA
female;NA;NA;regular;NA;NA;NA;NA;NA;NA;inner-city;NA;NA;19;565
male;regular;small;small;482;593;518;568;rural;rural;rural;20;15;13;655
male;regular;regular+aide;NA;436;549;486;505;inner-city;inner-city;NA;5;NA;NA;NA
female;NA;regular+aide;NA;NA;NA;NA;NA;NA;rural;NA;NA;27;NA;NA
male;regular;NA;NA;478;NA;493;NA;rural;NA;NA;12;NA;NA;NA
female;regular;NA;NA;536;NA;601;NA;suburban;NA;NA;10;NA;NA;NA
male;regular+aide;NA;NA;483;NA;518;NA;inner-city;NA;NA;6;NA;NA;NA
male;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
female;NA;regular;NA;NA;NA;NA;NA;NA;rural;NA;NA;9;NA;NA
male;regular;regular;regular;NA;579;553;639;rural;rural;rural;7;8;8;612
female;NA;regular+aide;regular+aide;NA;NA;NA;NA;NA;rural;rural;NA;8;19;557
female;regular;NA;NA;540;NA;520;NA;suburban;NA;NA;33;NA;NA;NA
male;NA;regular+aide;regular+aide;NA;637;NA;587;NA;rural;rural;NA;33;7;632
male;regular+aide;NA;NA;442;NA;470;NA;suburban;NA;NA;20;NA;NA;NA
female;NA;NA;regular;NA;NA;NA;NA;NA;NA;suburban;NA;NA;19;644
male;NA;NA;small;NA;NA;NA;NA;NA;NA;rural;NA;NA;28;576
male;regular;NA;NA;414;NA;444;NA;inner-city;NA;NA;14;NA;NA;NA
male;regular+aide;regular+aide;regular+aide;544;614;532;639;rural;rural;rural;2;22;10;652
female;NA;regular;regular;NA;523;NA;518;NA;inner-city;inner-city;NA;9;2;565
male;NA;regular;regular;NA;544;NA;579;NA;inner-city;inner-city;NA;9;2;608
male;regular;regular;regular+aide;492;555;520;563;inner-city;inner-city;inner-city;19;2;5;572
female;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
male;regular+aide;regular+aide;regular+aide;571;614;612;699;rural;rural;rural;39;9;16;689
male;regular+aide;regular+aide;regular+aide;579;650;601;639;rural;rural;rural;10;13;30;685
male;regular;regular;regular;604;604;592;639;inner-city;inner-city;inner-city;0;1;3;684
male;small;small;small;629;643;578;632;rural;rural;rural;3;12;14;673
male;small;small;small;571;659;601;659;rural;rural;rural;19;12;3;680
male;regular;regular;regular;499;568;500;599;inner-city;inner-city;inner-city;32;0;0;605
male;regular;NA;NA;503;NA;493;NA;inner-city;NA;NA;1;NA;NA;NA
female;regular;NA;NA;477;NA;510;NA;inner-city;NA;NA;2;NA;NA;NA
male;small;small;small;438;533;477;572;inner-city;inner-city;inner-city;4;14;8;564
male;small;small;small;544;618;592;574;suburban;suburban;suburban;9;15;18;646
male;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
male;regular;regular;regular;544;NA;532;NA;suburban;suburban;suburban;16;12;19;648
male;small;small;small;468;523;500;522;suburban;suburban;suburban;1;12;7;522
female;regular;regular+aide;NA;499;588;510;538;inner-city;inner-city;NA;2;16;NA;NA
male;regular+aide;regular+aide;regular+aide;490;541;512;577;rural;rural;rural;16;31;0;621
male;regular+aide;regular+aide;NA;445;500;495;538;inner-city;inner-city;NA;6;4;NA;NA
female;small;small;small;NA;627;NA;639;rural;rural;rural;3;13;8;653
male;regular+aide;NA;NA;NA;NA;NA;NA;rural;NA;NA;8;NA;NA;NA
male;NA;regular+aide;regular+aide;NA;533;NA;590;NA;suburban;suburban;NA;NA;22;618
female;small;NA;NA;507;NA;535;NA;rural;NA;NA;6;NA;NA;NA
female;small;small;small;527;637;520;639;suburban;suburban;suburban;4;28;11;649
female;small;regular+aide;regular+aide;478;596;495;582;rural;rural;rural;6;8;11;632
female;NA;regular+aide;regular+aide;NA;643;NA;590;NA;urban;urban;NA;17;38;639
female;NA;regular+aide;regular+aide;NA;571;NA;540;NA;suburban;suburban;NA;12;18;576
female;regular+aide;regular+aide;regular+aide;457;557;502;561;suburban;suburban;suburban;4;28;NA;598
female;NA;regular;NA;NA;614;NA;626;NA;rural;NA;NA;1;NA;NA
female;regular+aide;regular+aide;regular+aide;590;604;545;584;rural;rural;rural;28;4;16;639
female;regular+aide;NA;regular;NA;NA;NA;NA;urban;NA;urban;7;NA;15;608
female;regular;regular;regular;540;631;549;596;rural;rural;rural;4;22;14;635
male;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
male;regular+aide;NA;NA;475;NA;497;NA;suburban;NA;NA;4;NA;NA;NA
female;regular;regular;regular+aide;564;575;557;584;rural;rural;rural;13;19;19;NA
male;regular;NA;NA;507;NA;497;NA;suburban;NA;NA;23;NA;NA;NA
male;regular+aide;regular+aide;regular+aide;544;602;507;572;suburban;suburban;suburban;9;18;8;612
male;regular;NA;NA;441;NA;NA;NA;urban;NA;NA;11;NA;NA;NA
male;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
female;small;small;small;540;622;557;590;suburban;suburban;suburban;12;11;18;644
female;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
female;regular;regular;regular;472;593;526;615;rural;rural;rural;5;15;9;609
female;small;NA;NA;505;NA;502;NA;rural;NA;NA;14;NA;NA;NA
male;regular+aide;NA;NA;419;NA;497;NA;urban;NA;NA;7;NA;NA;NA
male;NA;small;small;NA;602;NA;611;NA;rural;rural;NA;7;6;613
female;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
male;small;small;small;482;560;545;620;urban;urban;urban;16;17;11;602
male;regular;regular;regular;NA;NA;NA;NA;inner-city;inner-city;inner-city;1;NA;0;586
male;regular;regular+aide;NA;460;479;436;486;suburban;suburban;NA;2;18;NA;NA
male;regular+aide;regular+aide;regular+aide;544;584;557;611;rural;rural;rural;10;27;19;639
female;small;small;small;463;545;502;563;suburban;suburban;suburban;23;15;20;588
male;regular+aide;regular+aide;regular+aide;NA;555;553;607;rural;rural;rural;13;8;14;612
female;small;small;small;558;608;515;611;rural;rural;rural;15;14;12;678
male;small;small;small;488;582;529;535;urban;urban;urban;20;12;19;NA
male;small;small;small;524;557;562;607;rural;rural;rural;15;14;12;629
female;regular;regular;regular;553;591;567;611;rural;rural;rural;5;31;8;623
female;regular;small;small;558;569;526;552;suburban;suburban;suburban;2;10;10;652
female;NA;small;small;NA;643;NA;674;NA;urban;urban;NA;28;13;658
male;small;small;small;501;611;549;550;rural;rural;rural;0;9;34;626
male;regular;regular;regular;604;588;572;615;rural;rural;rural;19;19;22;625
female;NA;small;NA;NA;575;NA;561;NA;suburban;NA;NA;4;NA;NA
female;regular+aide;regular+aide;regular+aide;431;NA;439;NA;suburban;suburban;suburban;2;15;18;NA
male;NA;regular;NA;NA;515;NA;593;NA;suburban;NA;NA;2;NA;NA
male;NA;NA;small;NA;NA;NA;NA;NA;NA;inner-city;NA;NA;5;NA
female;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
female;NA;NA;regular+aide;NA;NA;NA;NA;NA;NA;urban;NA;NA;38;626
male;regular;regular;regular;488;564;505;540;inner-city;inner-city;inner-city;14;13;19;615
male;small;small;small;519;566;567;607;rural;rural;rural;8;9;9;607
male;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
female;small;small;small;651;684;592;699;rural;rural;rural;8;7;1;714
male;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
female;regular;regular;regular;548;579;567;582;rural;rural;rural;8;19;0;632
female;regular+aide;regular+aide;regular+aide;604;608;592;632;rural;rural;rural;10;13;30;675
male;regular;regular;small;487;542;477;536;inner-city;inner-city;inner-city;19;2;29;541
female;regular+aide;regular+aide;regular+aide;463;542;510;563;inner-city;inner-city;inner-city;17;10;0;594
female;NA;NA;regular;NA;NA;NA;NA;NA;NA;inner-city;NA;NA;26;628
male;small;small;small;NA;506;439;469;rural;rural;rural;18;4;23;NA
female;regular+aide;regular+aide;regular+aide;579;614;529;596;rural;rural;rural;16;8;12;639
male;regular;NA;NA;434;NA;456;NA;rural;NA;NA;0;NA;NA;NA
male;small;small;small;533;577;538;568;inner-city;inner-city;inner-city;13;33;18;587
female;regular;regular;regular;533;618;542;568;rural;rural;rural;11;19;3;629
male;regular;regular;NA;477;505;535;525;rural;rural;NA;13;15;NA;NA
male;NA;NA;regular+aide;NA;NA;NA;NA;NA;NA;suburban;NA;NA;8;604
female;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
male;small;small;small;519;579;520;572;inner-city;inner-city;inner-city;17;2;3;630
male;regular;regular;regular;494;566;493;584;suburban;suburban;suburban;1;8;15;628
male;NA;regular+aide;regular+aide;NA;568;NA;563;NA;inner-city;inner-city;NA;14;33;560
male;small;NA;small;579;NA;592;NA;rural;NA;rural;13;NA;4;648
female;NA;NA;regular;NA;NA;NA;NA;NA;NA;rural;NA;NA;5;656
female;small;small;small;544;593;505;548;rural;rural;rural;10;18;11;637
female;regular;regular;regular;505;559;578;559;suburban;suburban;suburban;22;20;19;617
female;NA;NA;regular+aide;NA;NA;NA;NA;NA;NA;rural;NA;NA;16;624
female;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
female;regular;regular;regular;530;566;500;533;suburban;suburban;suburban;5;23;9;597
female;NA;regular;NA;NA;604;NA;611;NA;suburban;NA;NA;23;NA;NA
female;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
female;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
female;regular+aide;regular+aide;regular+aide;590;604;557;574;rural;rural;rural;21;14;9;674
female;NA;regular;regular;NA;568;NA;603;NA;suburban;suburban;NA;20;19;626
male;small;NA;NA;465;NA;529;NA;inner-city;NA;NA;1;NA;NA;NA
female;small;NA;NA;441;NA;461;NA;inner-city;NA;NA;13;NA;NA;NA
male;small;small;NA;553;560;578;574;inner-city;inner-city;NA;9;2;NA;NA
female;NA;NA;small;NA;NA;NA;NA;NA;NA;suburban;NA;NA;27;572
male;NA;regular;regular;NA;544;NA;561;NA;suburban;suburban;NA;23;9;630
female;NA;NA;small;NA;NA;NA;NA;NA;NA;rural;NA;NA;5;618
male;NA;NA;small;NA;NA;NA;NA;NA;NA;inner-city;NA;NA;33;627
female;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
male;regular+aide;NA;NA;438;NA;446;NA;inner-city;NA;NA;36;NA;NA;NA
male;NA;NA;regular+aide;NA;NA;NA;NA;NA;NA;rural;NA;NA;7;644
female;small;small;small;604;659;542;607;urban;urban;urban;12;6;14;656
female;small;small;small;571;684;584;607;rural;rural;rural;8;16;6;662
female;NA;regular+aide;regular+aide;NA;549;NA;548;NA;rural;rural;NA;31;0;NA
female;NA;NA;regular;NA;NA;NA;NA;NA;NA;suburban;NA;NA;14;610
male;NA;NA;small;NA;NA;NA;NA;NA;NA;rural;NA;NA;1;571
male;NA;regular;regular+aide;NA;530;NA;568;NA;inner-city;inner-city;NA;7;12;607
female;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
male;regular+aide;regular+aide;NA;509;622;592;582;suburban;suburban;NA;4;9;NA;NA
female;small;NA;NA;505;NA;520;NA;rural;NA;NA;7;NA;NA;NA
female;regular+aide;regular+aide;regular+aide;492;547;502;525;rural;rural;rural;9;2;15;613
female;regular+aide;NA;NA;514;NA;488;NA;inner-city;NA;NA;6;NA;NA;NA
male;small;small;small;485;566;572;620;rural;rural;rural;6;20;19;571
female;small;small;small;471;560;535;552;rural;rural;rural;5;0;15;653
female;small;NA;NA;503;NA;502;NA;urban;NA;NA;13;NA;NA;NA
female;regular+aide;regular+aide;regular+aide;NA;514;454;507;rural;rural;rural;2;22;10;543
female;regular+aide;regular+aide;regular+aide;527;631;529;565;rural;rural;rural;0;16;1;634
male;NA;regular+aide;regular+aide;NA;566;NA;579;NA;inner-city;inner-city;NA;32;18;627
male;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
female;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
male;NA;regular;NA;NA;547;NA;543;NA;urban;NA;NA;8;NA;NA
female;NA;small;regular+aide;NA;NA;NA;NA;NA;inner-city;inner-city;NA;28;25;NA
male;regular+aide;regular+aide;regular+aide;456;515;490;500;inner-city;inner-city;inner-city;33;5;26;573
male;regular;NA;NA;NA;NA;NA;NA;rural;NA;NA;11;NA;NA;NA
female;regular;regular;regular;604;555;526;572;rural;rural;rural;19;19;22;564
female;regular+aide;regular;regular+aide;463;517;535;568;inner-city;inner-city;inner-city;24;24;25;580
female;regular;regular;NA;512;579;479;NA;rural;rural;NA;11;25;NA;NA
female;regular+aide;regular+aide;regular+aide;468;554;479;522;inner-city;inner-city;inner-city;4;16;11;563
male;NA;NA;regular+aide;NA;NA;NA;NA;NA;NA;rural;NA;NA;5;586
male;regular+aide;regular+aide;NA;540;584;549;554;rural;rural;NA;20;11;NA;NA
male;small;small;small;497;554;545;572;rural;rural;rural;1;11;31;592
female;small;small;regular;544;582;538;579;inner-city;inner-city;inner-city;17;5;14;631
male;regular+aide;NA;NA;548;NA;592;NA;rural;NA;NA;7;NA;NA;NA
female;NA;regular;regular;NA;NA;NA;NA;NA;suburban;suburban;NA;22;10;602
female;regular+aide;regular+aide;regular+aide;651;650;601;620;rural;rural;rural;23;20;9;661
female;small;small;small;651;NA;627;NA;suburban;suburban;suburban;18;19;13;653
male;regular+aide;regular+aide;regular+aide;651;732;676;674;rural;rural;rural;9;11;13;NA
male;regular+aide;regular+aide;regular+aide;438;541;518;607;urban;urban;urban;7;30;9;606
female;regular;regular+aide;regular+aide;536;582;510;584;urban;urban;urban;17;12;31;594
male;NA;NA;small;NA;NA;NA;NA;NA;NA;suburban;NA;NA;8;628
female;regular+aide;regular+aide;regular+aide;540;593;557;596;rural;rural;rural;6;1;2;625
female;regular;regular+aide;regular+aide;629;650;612;639;rural;rural;rural;15;13;7;661
female;regular;regular;regular;579;586;538;579;suburban;suburban;suburban;18;7;8;617
male;regular+aide;regular+aide;regular+aide;483;582;520;574;suburban;suburban;suburban;4;28;NA;618
male;NA;NA;regular+aide;NA;NA;NA;NA;NA;NA;inner-city;NA;NA;11;606
male;regular;regular;regular;553;591;532;561;urban;urban;urban;5;8;15;617
male;NA;NA;small;NA;NA;NA;NA;NA;NA;urban;NA;NA;29;619
male;regular;NA;NA;494;NA;497;NA;rural;NA;NA;16;NA;NA;NA
male;small;small;NA;439;508;477;518;inner-city;inner-city;NA;1;8;NA;NA
male;NA;NA;regular+aide;NA;NA;NA;NA;NA;NA;urban;NA;NA;31;580
male;small;small;NA;544;550;545;517;rural;rural;NA;12;23;NA;NA
female;regular+aide;NA;NA;519;NA;545;NA;suburban;NA;NA;6;NA;NA;NA
male;regular;regular;NA;462;NA;481;NA;inner-city;inner-city;NA;1;12;NA;NA
female;regular+aide;regular+aide;small;477;550;549;611;inner-city;inner-city;inner-city;1;12;29;570
male;NA;NA;regular;NA;NA;NA;NA;NA;NA;suburban;NA;NA;24;637
male;regular;regular;small;604;684;601;659;rural;rural;rural;20;11;4;734
male;regular;regular;regular;564;577;505;526;suburban;suburban;suburban;5;23;9;581
female;small;regular;regular;544;622;545;611;rural;rural;rural;12;26;17;669
male;NA;NA;small;NA;NA;NA;NA;NA;NA;inner-city;NA;NA;14;581
male;regular+aide;regular;regular;548;560;612;584;suburban;suburban;suburban;13;9;15;595
female;regular;NA;NA;629;NA;526;NA;suburban;NA;NA;22;NA;NA;NA
female;regular;regular;regular;590;591;572;611;suburban;suburban;suburban;4;4;7;638
female;regular+aide;regular+aide;regular+aide;536;618;512;536;rural;rural;rural;8;14;4;610
female;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
male;NA;regular;NA;NA;554;NA;572;NA;rural;NA;NA;12;NA;NA
